$Date,$Time,FE1_AIRFLOW,FE1_BATCHTIME,FE1_BLUELIGHT,FE1_CO2FLOW,FE1_DO,FE1_FEEDRATEA,FE1_FEEDRATEB,FE1_LEVEL,FE1_OD,FE1_PH,FE1_REDLIGHT,FE1_STIRRERSPEED,FE1_SUMACID,FE1_SUMBASE,FE1_TEMPERATURE
12/12/18,12:06:00 PM,1000,2.468889,6709.287,16.01993,76.69535,0,0,98.70602,11.87533,7.383409,17049.72,148.7372,0,0,29.87254
12/12/18,12:07:00 PM,1000,2.4875,6739.527,16.01993,76.90236,0,0,98.70602,12.27207,7.383409,17100.03,148.7372,0,0,29.87254
12/12/18,12:08:00 PM,1000,2.503056,6759.714,16.01993,76.90236,0,0,98.70602,11.66171,7.383409,17161.07,148.7372,0,0,29.87254
12/12/18,12:09:00 PM,1000,2.518333,6779.782,16.01993,76.90236,0,0,98.70602,10.65461,7.383409,17211.65,148.7372,0,0,29.87254
12/12/18,12:10:00 PM,1000,2.537222,6810.023,16.01993,76.70165,0,0,98.70602,10.37995,7.383409,17262.32,148.7372,0,0,29.87254
12/12/18,12:11:00 PM,1000,2.552778,6830.17,16.01993,76.70165,0,0,98.70602,10.50202,7.383409,17322.82,148.7372,0,0,29.87254
12/12/18,12:12:00 PM,1000,2.568333,6850.357,16.01993,76.90287,0,0,98.70602,10.86824,7.383409,17373.39,148.7372,0,0,29.87254
12/12/18,12:13:00 PM,1000,2.586667,6880.519,16.01993,76.90287,0,0,98.70602,11.75326,7.383409,17433.71,148.7372,0,0,29.87254
12/12/18,12:14:00 PM,1000,2.6025,6900.666,16.01993,77.10341,0,0,98.70602,12.69932,7.383409,17484.38,148.7372,0,0,29.87254
12/12/18,12:15:00 PM,1000,2.618056,6930.907,16.01993,77.10341,0,0,98.70602,12.85191,7.383409,17534.68,148.7372,0,0,29.87254
12/12/18,12:16:00 PM,1000,2.636667,6951.094,16.01993,76.89976,0,0,98.70602,11.96689,7.383409,17595.72,148.7372,0,0,29.88976
12/12/18,12:17:00 PM,1000,2.651944,6971.241,16.01993,76.89976,0,0,98.70602,11.57015,7.383409,17646.3,148.7372,0,0,29.88976
12/12/18,12:18:00 PM,1000,2.671111,7001.521,16.01993,76.89976,0,0,98.70602,12.18051,7.383409,17707.16,148.7372,0,0,29.89551
12/12/18,12:19:00 PM,1000,2.686389,7021.589,16.01993,76.89976,0,0,98.70602,12.82139,7.383409,17757.92,148.7372,0,0,29.89551
12/12/18,12:20:00 PM,1000,2.701944,7041.737,16.01382,76.69358,0,0,98.70602,13.18761,7.383409,17808.59,148.7372,0,0,29.89551
12/12/18,12:21:00 PM,1000,2.720556,7071.977,16.01382,76.69358,0,0,98.70602,13.70642,7.363069,17868.9,148.7372,0,0,29.89551
12/12/18,12:22:00 PM,1000,2.736389,7092.164,16.01382,76.69358,0,0,98.70602,14.89662,7.363069,17919.21,148.7372,0,0,29.89551
12/12/18,12:23:00 PM,1000,2.751667,7112.311,16.01382,76.49264,0,0,98.70602,16.0563,7.363069,17979.98,148.7372,0,0,29.89551
12/12/18,12:24:00 PM,1000,2.770278,7142.473,16.01382,76.90737,0,0,98.70602,17.33806,7.363069,18030.38,148.7372,0,0,29.89551
12/12/18,12:25:00 PM,1000,2.785833,7162.66,16.01382,76.90737,0,0,98.70602,17.61273,7.363069,18080.95,148.7372,0,0,29.89551
12/12/18,12:26:00 PM,1000,2.801667,7182.807,16.01382,76.90737,0,0,98.70602,16.45304,7.363069,18141.81,148.7372,0,0,29.89551
12/12/18,12:27:00 PM,1000,2.82,7213.048,16.01382,76.90737,0,0,98.70602,13.92004,7.363069,18192.57,148.7372,0,0,29.89551
12/12/18,12:28:00 PM,1000,2.835556,7233.116,16.01382,76.90737,0,0,98.70602,11.93637,7.363069,18253.16,148.7372,0,0,29.89551
12/12/18,12:29:00 PM,1000,2.854444,7263.396,16.01993,76.90737,0,0,98.70602,11.93637,7.363069,18304.01,148.7372,0,0,29.89551
